"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test back to login functionality from OTP page","501","test_09_otp_back_to_login","tests","Fri Sep 19 14:43:00 IST 2025","passed","Fri Sep 19 14:43:00 IST 2025","TestOTPOptimized","test_otp","",""
"Test navigating to radius tab and extracting data","305","test_14_navigate_to_radius_tab_extract_data","tests","Fri Sep 19 14:43:31 IST 2025","passed","Fri Sep 19 14:43:31 IST 2025","TestValuationsOptimized","test_valuations","",""
"Test fuel type filters on financials page","306","test_21_test_fuel_type_filters_financials_page","tests","Fri Sep 19 14:43:33 IST 2025","passed","Fri Sep 19 14:43:33 IST 2025","TestValuationsOptimized","test_valuations","",""
"Test 19: Complete workflow financials to portfolio validation","205","test_19_complete_workflow_financials_to_portfolio_validation","tests","Fri Sep 19 14:43:15 IST 2025","passed","Fri Sep 19 14:43:15 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test 24: Comprehensive tooltip validation with fresh data","203","test_24_comprehensive_tooltip_validation_with_fresh_data","tests","Fri Sep 19 14:43:16 IST 2025","passed","Fri Sep 19 14:43:16 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test 11: Radius controls","201","test_11_test_current_radius_plus_minus_functionality","tests","Fri Sep 19 14:43:13 IST 2025","passed","Fri Sep 19 14:43:13 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test 31: Complete portfolio builder filtered search workflow","206","test_31_complete_portfolio_builder_filtered_search_workflow","tests","Fri Sep 19 14:43:17 IST 2025","passed","Fri Sep 19 14:43:18 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test 14: Used sales MO calculation validation","203","test_14_validate_used_sales_mo_calculation_specific","tests","Fri Sep 19 14:43:14 IST 2025","passed","Fri Sep 19 14:43:14 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test multiple OTP attempts","814","test_07_multiple_otp_attempts","tests","Fri Sep 19 14:42:58 IST 2025","passed","Fri Sep 19 14:42:59 IST 2025","TestOTPOptimized","test_otp","",""
"Test validation of home page cards","415","test_02_validate_home_page_cards","tests","Fri Sep 19 14:42:25 IST 2025","passed","Fri Sep 19 14:42:26 IST 2025","TestHomeOptimized","test_home","",""
"Test validating adjusted profit calculation","301","test_10_validate_adjusted_profit_calculation","tests","Fri Sep 19 14:43:30 IST 2025","passed","Fri Sep 19 14:43:30 IST 2025","TestValuationsOptimized","test_valuations","",""
"Test entering search criteria for Chevrolet with zipcode 10001","306","test_04_enter_search_criteria_chevrolet_zipcode_10001","tests","Fri Sep 19 14:43:11 IST 2025","passed","Fri Sep 19 14:43:11 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test 12: Sales calculations validation","206","test_12_validate_portfolio_sales_calculations_against_financials","tests","Fri Sep 19 14:43:13 IST 2025","passed","Fri Sep 19 14:43:14 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test 30: Min/max revenue field validation","206","test_30_validate_min_max_revenue_field_validation","tests","Fri Sep 19 14:43:17 IST 2025","passed","Fri Sep 19 14:43:17 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test password visibility toggle (eye icon) functionality","502","test_10_password_eye_icon_functionality","tests","Fri Sep 19 14:42:42 IST 2025","passed","Fri Sep 19 14:42:43 IST 2025","TestLoginOptimized","test_login","",""
"Test validating expense calculation formula","305","test_08_validate_expense_calculation_formula","tests","Fri Sep 19 14:43:29 IST 2025","passed","Fri Sep 19 14:43:29 IST 2025","TestValuationsOptimized","test_valuations","",""
"Test clicking portfolio search button and navigating to search","301","test_03_click_portfolio_search_button_navigate_to_search","tests","Fri Sep 19 14:43:11 IST 2025","passed","Fri Sep 19 14:43:11 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test tooltips and help information on financials page","303","test_22_test_tooltips_help_information_financials_page","tests","Fri Sep 19 14:43:33 IST 2025","passed","Fri Sep 19 14:43:34 IST 2025","TestValuationsOptimized","test_valuations","",""
"Test financial data extraction and validation","303","test_13_test_financial_data_extraction_and_validation","tests","Fri Sep 19 14:43:31 IST 2025","passed","Fri Sep 19 14:43:31 IST 2025","TestValuationsOptimized","test_valuations","",""
"Test comparing current and suggested radius values","302","test_23_compare_current_suggested_radius_values","tests","Fri Sep 19 14:43:34 IST 2025","passed","Fri Sep 19 14:43:34 IST 2025","TestValuationsOptimized","test_valuations","",""
"Test complete user journey from login to search","306","test_04_complete_user_journey_login_to_search","tests","Fri Sep 19 14:43:28 IST 2025","passed","Fri Sep 19 14:43:28 IST 2025","TestValuationsOptimized","test_valuations","",""
"Test 21: Enhanced sales MO validation with scrolling","203","test_21_enhanced_sales_mo_validation_with_scrolling","tests","Fri Sep 19 14:43:15 IST 2025","passed","Fri Sep 19 14:43:15 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test valid login credentials and successful authentication","2074","test_01_login_with_valid_credentials","tests","Fri Sep 19 14:42:36 IST 2025","passed","Fri Sep 19 14:42:38 IST 2025","TestLoginOptimized","test_login","",""
"Test navigation to OTP verification page","1563","test_01_navigate_to_otp_page","tests","Fri Sep 19 14:42:53 IST 2025","passed","Fri Sep 19 14:42:54 IST 2025","TestOTPOptimized","test_otp","",""
"Test validating real estate land improvement formulas","305","test_16_validate_real_estate_land_improvement_formulas","tests","Fri Sep 19 14:43:32 IST 2025","passed","Fri Sep 19 14:43:32 IST 2025","TestValuationsOptimized","test_valuations","",""
"Test 25: FNI PVR suggested radius validation","206","test_25_validate_fni_pvr_suggested_radius_against_radius_page","tests","Fri Sep 19 14:43:16 IST 2025","passed","Fri Sep 19 14:43:16 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test 27: Navigate Sunrise Chevrolet and extract radius data","202","test_27_navigate_sunrise_chevrolet_extract_radius_data","tests","Fri Sep 19 14:43:16 IST 2025","passed","Fri Sep 19 14:43:17 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test entering valid OTP code","502","test_02_enter_valid_otp_code","tests","Fri Sep 19 14:42:54 IST 2025","passed","Fri Sep 19 14:42:55 IST 2025","TestOTPOptimized","test_otp","",""
"Test privacy policy button functionality","505","test_12_privacy_policy_button_functionality","tests","Fri Sep 19 14:42:43 IST 2025","passed","Fri Sep 19 14:42:44 IST 2025","TestLoginOptimized","test_login","",""
"Test 28: Complete portfolio vs radius validation workflow","204","test_28_complete_portfolio_vs_radius_validation_workflow","tests","Fri Sep 19 14:43:17 IST 2025","passed","Fri Sep 19 14:43:17 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test creating new valuation and selecting dealer","306","test_05_create_new_valuation_select_dealer","tests","Fri Sep 19 14:43:28 IST 2025","passed","Fri Sep 19 14:43:28 IST 2025","TestValuationsOptimized","test_valuations","",""
"Test successful OTP verification","505","test_08_otp_verification_success","tests","Fri Sep 19 14:42:59 IST 2025","passed","Fri Sep 19 14:43:00 IST 2025","TestOTPOptimized","test_otp","",""
"Test navigation to home page","1626","test_01_navigate_to_home_page","tests","Fri Sep 19 14:42:24 IST 2025","passed","Fri Sep 19 14:42:25 IST 2025","TestHomeOptimized","test_home","",""
"Test OTP input auto-focus functionality","626","test_10_otp_auto_focus_functionality","tests","Fri Sep 19 14:43:00 IST 2025","passed","Fri Sep 19 14:43:01 IST 2025","TestOTPOptimized","test_otp","",""
"Test demonstrating adjusted profit calculation formula","301","test_12_demonstrate_adjusted_profit_calculation_formula","tests","Fri Sep 19 14:43:30 IST 2025","passed","Fri Sep 19 14:43:31 IST 2025","TestValuationsOptimized","test_valuations","",""
"Test 17: Portfolio used value validation","205","test_17_validate_portfolio_used_value_against_financials","tests","Fri Sep 19 14:43:14 IST 2025","passed","Fri Sep 19 14:43:15 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test 29: Map zoom in/out functionality validation","203","test_29_validate_map_zoom_in_out_functionality","tests","Fri Sep 19 14:43:17 IST 2025","passed","Fri Sep 19 14:43:17 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test validating all financial calculations together","302","test_11_validate_all_financial_calculations_together","tests","Fri Sep 19 14:43:30 IST 2025","passed","Fri Sep 19 14:43:30 IST 2025","TestValuationsOptimized","test_valuations","",""
"Test successful login redirects to OTP page","503","test_08_successful_login_otp_redirect","tests","Fri Sep 19 14:42:41 IST 2025","passed","Fri Sep 19 14:42:42 IST 2025","TestLoginOptimized","test_login","",""
